id,Стихия,Целевая звезда,Предмет,Количество
1,Красный,2,Шипастая пластина,1
2,Красный,2,Кожаный наплечник,2
4,Красный,3,Старый свиток,3
5,Красный,3,Кожаный наплечник,2
6,Красный,3,Кольцо с шипами,2
11,Синий,2,Шипастая пластина,1
12,Синий,2,Кожаный наплечник,2
14,Синий,3,Кожаный наплечник,2
15,Синий,3,Кольцо с шипами,2
16,Синий,3,Тигриная шкура,2
21,Зеленый,2,Железный клинок,1
22,Зеленый,2,Металлический шлем,2
24,Зеленый,3,Кожаные перчатки,2
25,Зеленый,3,Кольцо с шипами,2
26,Зеленый,3,Металлический шлем,2
31,Желтый,2,Шипастая пластина,1
32,Желтый,2,Кожаный наплечник,2
34,Желтый,3,Старый свиток,3
35,Желтый,3,Кожаный наплечник,2
36,Желтый,3,Кольцо с шипами,2
41,Фиолетовый,2,Железный клинок,1
42,Фиолетовый,2,Металлический шлем,2
44,Фиолетовый,3,Кожаные перчатки,2
45,Фиолетовый,3,Кольцо с шипами,2
46,Фиолетовый,3,Металлический шлем,2
