id,Стихия,Целевая звезда,Предмет,Количество
1,Красный,2,Кожаный наплечник,2
2,Красный,2,Кольцо с шипами,2
3,Красный,2,Старый свиток,3
4,Красный,3,Старый свиток,3
5,Красный,3,Кожаная броня,3
6,Красный,3,Кожаные ботинки,2
7,Красный,4,Кожаная броня,3
8,Красный,4,Стальной наплечник,1
9,Красный,4,Лампа,1
10,Красный,4,Кожаные наручи,4
11,Синий,2,Кожаный наплечник,2
12,Синий,2,Кольцо с шипами,2
13,Синий,2,Тигриная шкура,3
14,Синий,3,Кожаная броня,3
15,Синий,3,Кожаные ботинки,2
16,Синий,3,Руна сражений,3
17,Синий,4,Руна сражений,3
18,Синий,4,Стальной наплечник,1
19,Синий,4,Лампа,1
20,Синий,4,Круглый щит,4
21,Зеленый,2,Кожаный наплечник,2
22,Зеленый,2,Кольцо с шипами,2
23,Зеленый,2,Тигриная шкура,3
24,Зеленый,3,Кожаные перчатки,3
25,Зеленый,3,Золотой медальон,3
26,Зеленый,3,Кожаные ботинки,2
27,Зеленый,4,Золотой медальон,3
28,Зеленый,4,Стальной наплечник,1
29,Зеленый,4,Лампа,1
30,Зеленый,4,Ядовитые клыки,4
31,Желтый,2,Кожаный наплечник,2
32,Желтый,2,Кольцо с шипами,2
33,Желтый,2,Старый свиток,3
34,Желтый,3,Старый свиток,3
35,Желтый,3,Кожаная броня,3
36,Желтый,3,Кожаные ботинки,2
37,Желтый,4,Кожаная броня,3
38,Желтый,4,Стальной наплечник,1
39,Желтый,4,Лампа,1
40,Желтый,4,Магическая пластина,4
41,Фиолетовый,2,Кожаный наплечник,2
42,Фиолетовый,2,Кольцо с шипами,2
43,Фиолетовый,2,Тигриная шкура,3
44,Фиолетовый,3,Кожаные перчатки,3
45,Фиолетовый,3,Золотой медальон,3
46,Фиолетовый,3,Кожаные ботинки,2
47,Фиолетовый,4,Золотой медальон,3
48,Фиолетовый,4,Стальной наплечник,1
49,Фиолетовый,4,Лампа,1
50,Фиолетовый,4,Наковальня,4
